COUNTRY,Country,Year,Field,Female,Male,Total,Ratio,Difference,STEM_Status
ARG,Argentina,2018,"Agriculture, forestry, fisheries and veterinary",1.091,2.904,1.71,2.6617781851512374,1.813,STEM
ARG,Argentina,2018,Arts and humanities,12.697,8.339,11.21,0.6567693155863591,-4.357999999999999,Non-STEM
ARG,Argentina,2018,"Business, administration and law",20.86,27.655,23.179,1.3257430488974113,6.795000000000002,Non-STEM
ARG,Argentina,2018,Education,22.403,9.743,18.083,0.43489711199392944,-12.659999999999998,Non-STEM
ARG,Argentina,2018,"Engineering, manufacturing and construction",4.444,12.037,7.035,2.7085958595859587,7.593000000000001,STEM
ARG,Argentina,2018,Health and welfare,20.07,11.265,17.065,0.5612855007473841,-8.805,STEM
ARG,Argentina,2018,Information and Communication Technologies (ICTs),1.081,4.663,2.303,4.313598519888992,3.5820000000000003,STEM
ARG,Argentina,2018,"Natural sciences, mathematics and statistics",6.063,7.959,6.71,1.3127164769915882,1.896,STEM
ARG,Argentina,2018,Services,2.867,4.919,3.567,1.7157307289850017,2.0519999999999996,Non-STEM
ARG,Argentina,2018,"Social sciences, journalism and information",8.424,10.516,9.138,1.2483380816714151,2.0920000000000005,Non-STEM
AUS,Australia,2005,"Agriculture, forestry, fisheries and veterinary",1.015,1.287,1.135,1.2679802955665025,0.272,STEM
AUS,Australia,2005,Arts and humanities,12.964,8.837,11.14,0.681656896019747,-4.127000000000001,Non-STEM
AUS,Australia,2005,"Business, administration and law",32.402,36.505,34.215,1.1266279859267947,4.1030000000000015,Non-STEM
AUS,Australia,2005,Education,12.953,5.964,9.864,0.4604338763220876,-6.988999999999999,Non-STEM
AUS,Australia,2005,"Engineering, manufacturing and construction",4.283,14.913,8.981,3.481905206630866,10.629999999999999,STEM
AUS,Australia,2005,Generic programmes and qualifications,0.0,0.0,0.0,,0.0,Non-STEM
AUS,Australia,2005,Health and welfare,18.943,6.855,13.6,0.361875098981154,-12.088000000000001,STEM
AUS,Australia,2005,Information and Communication Technologies (ICTs),3.038,13.85,7.817,4.558920342330481,10.812,STEM
AUS,Australia,2005,"Natural sciences, mathematics and statistics",4.736,5.04,4.871,1.0641891891891893,0.30400000000000027,STEM
AUS,Australia,2005,Services,1.835,2.172,1.984,1.1836512261580383,0.3370000000000002,Non-STEM
AUS,Australia,2005,"Social sciences, journalism and information",7.831,4.577,6.393,0.584471970374154,-3.2540000000000004,Non-STEM
AUS,Australia,2010,"Agriculture, forestry, fisheries and veterinary",0.862,1.215,1.015,1.4095127610208817,0.3530000000000001,STEM
AUS,Australia,2010,Arts and humanities,11.761,9.007,10.567,0.7658362384151007,-2.7539999999999996,Non-STEM
AUS,Australia,2010,"Business, administration and law",36.748,41.74,38.912,1.1358441275715687,4.992000000000004,Non-STEM
AUS,Australia,2010,Education,10.867,4.974,8.312,0.4577160209809515,-5.893000000000001,Non-STEM
