"COUNTRY","Country","INDICATOR","Indicator","EDUCATION_LEV","Education level","SEX","Gender","MOBILITY","Mobility status","EDUCATION_FIELD","Field","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F00","Generic programmes and qualifications","2005","2005",0,,
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F00","Generic programmes and qualifications","2010","2010",0,,
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F00","Generic programmes and qualifications","2011","2011",0,,
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F00","Generic programmes and qualifications","2012","2012",0,,
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F00","Generic programmes and qualifications","2013","2013",0,,
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F00","Generic programmes and qualifications","2014","2014",0,,
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F00","Generic programmes and qualifications","2015","2015",0.003,,
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F00","Generic programmes and qualifications","2016","2016",0.003,,
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F00","Generic programmes and qualifications","2017","2017",0.001,,
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F00","Generic programmes and qualifications","2018","2018",0.001,,
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F00","Generic programmes and qualifications","2019","2019",0.006,,
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","_T","Total","_T","Total","F00","Generic programmes and qualifications","9999","Latest available year",0.006,,
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F00","Generic programmes and qualifications","2005","2005",0,,
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F00","Generic programmes and qualifications","2010","2010",0,,
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F00","Generic programmes and qualifications","2011","2011",0,,
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F00","Generic programmes and qualifications","2012","2012",0,,
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F00","Generic programmes and qualifications","2013","2013",0,,
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F00","Generic programmes and qualifications","2014","2014",0,,
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F00","Generic programmes and qualifications","2015","2015",0.003,,
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F00","Generic programmes and qualifications","2016","2016",0.003,,
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F00","Generic programmes and qualifications","2017","2017",0,,
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F00","Generic programmes and qualifications","2018","2018",0.001,,
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F00","Generic programmes and qualifications","2019","2019",0.005,,
"AUS","Australia","GRAD_SHARE_FIELDS","Share of graduates by field","ISCED11_5T8","Tertiary education","F","Female","_T","Total","F00","Generic programmes and qualifications","9999","Latest available year",0.005,,
